Accuracy,F1,Balanced,Precision,Recall
0.946,0.946,0.945,0.947,0.946
0.945,0.946,0.945,0.946,0.945
0.955,0.954,0.954,0.955,0.955
0.952,0.952,0.951,0.953,0.952
0.941,0.941,0.94,0.942,0.941
0.95,0.95,0.949,0.95,0.95
0.939,0.94,0.939,0.94,0.939
0.955,0.955,0.955,0.955,0.955
0.937,0.937,0.936,0.938,0.937
0.948,0.948,0.947,0.949,0.948
