Accuracy,F1,Balanced,Precision,Recall
0.942,0.942,0.942,0.943,0.942
0.941,0.941,0.941,0.941,0.941
0.94,0.94,0.939,0.94,0.94
0.943,0.943,0.942,0.943,0.943
0.937,0.937,0.937,0.938,0.937
0.936,0.936,0.935,0.936,0.936
0.943,0.943,0.943,0.943,0.943
0.947,0.947,0.946,0.947,0.947
0.931,0.931,0.931,0.932,0.931
0.939,0.939,0.938,0.939,0.939
